content_partner,primary_collection,items_total,usage,count,usage_total
LERNZdb,LERNZ Freshwater Database,1193,Share,1193,1193
LERNZdb,LERNZ Freshwater Database,1193,Use commercially,1193,1193
Landcare Trust,Landcare Trust YouTube,77,All rights reserved,77,77
Landfall,Landfall Archive,4988,All rights reserved,4988,4988
Landfall,Landfall Review Online,705,All rights reserved,705,705
Laurie Family,WRD Laurie World War One Photographs,163,Modify,162,163
Laurie Family,WRD Laurie World War One Photographs,163,Share,162,163
Laurie Family,WRD Laurie World War One Photographs,163,Use commercially,162,163
Laurie Family,WRD Laurie World War One Photographs,163,All rights reserved,1,163
Lincoln University,Data@Lincoln,61,Share,61,61
Lincoln University,Data@Lincoln,61,Modify,60,61
Lincoln University,Data@Lincoln,61,Use commercially,55,61
Lincoln University,Landscape Review,258,Modify,258,258
Lincoln University,Landscape Review,258,Share,258,258
Lincoln University,Landscape Review,258,Use commercially,258,258
Lincoln University,Lincoln Planning Review,282,Modify,282,282
Lincoln University,Lincoln Planning Review,282,Share,282,282
Lincoln University,Lincoln University Living Heritage: Tikaka Tōku Iho,28845,Share,28060,28845
Lincoln University,Lincoln University Living Heritage: Tikaka Tōku Iho,28845,Modify,25093,28845
Lincoln University,Lincoln University Living Heritage: Tikaka Tōku Iho,28845,Use commercially,24501,28845
Lincoln University,Lincoln University Living Heritage: Tikaka Tōku Iho,28845,All rights reserved,785,28845
Lincoln University,Lincoln University Research Archive,6435,All rights reserved,5509,6435
Lincoln University,Lincoln University Research Archive,6435,Share,926,6435
Lincoln University,Lincoln University Research Archive,6435,Modify,676,6435
Lincoln University,Lincoln University Research Archive,6435,Use commercially,603,6435
Lincoln University,Lincoln University Resources for Education,302,All rights reserved,302,302
Lincoln University,Mahika Kai Journal,7,Modify,7,7
Lincoln University,Mahika Kai Journal,7,Share,7,7
Lincoln University,Mahika Kai Journal,7,Use commercially,7,7
Lost Christchurch,Lost Christchurch,133,All rights reserved,133,133
MOTAT,MOTAT,30749,All rights reserved,30749,30749
MTG Hawke's Bay,MTG Hawke's Bay,15633,Modify,12211,15633
MTG Hawke's Bay,MTG Hawke's Bay,15633,Share,12211,15633
MTG Hawke's Bay,MTG Hawke's Bay,15633,Use commercially,12211,15633
MTG Hawke's Bay,MTG Hawke's Bay,15633,All rights reserved,3400,15633
MTG Hawke's Bay,MTG Hawke's Bay,15633,Unknown,22,15633
Manaaki Whenua – Landcare Research,Flax Collection,54,Modify,54,54
Manaaki Whenua – Landcare Research,Flax Collection,54,Share,54,54
Manaaki Whenua – Landcare Research,Flax Collection,54,Use commercially,54,54
Manaaki Whenua – Landcare Research,Flora of New Zealand,1476,Modify,1471,1471
Manaaki Whenua – Landcare Research,Flora of New Zealand,1476,Share,1471,1471
Manaaki Whenua – Landcare Research,Flora of New Zealand,1476,Use commercially,1446,1471
Manaaki Whenua – Landcare Research,Landcare Research Digital Library,7960,All rights reserved,6030,7960
Manaaki Whenua – Landcare Research,Landcare Research Digital Library,7960,Share,1930,7960
Manaaki Whenua – Landcare Research,Landcare Research Digital Library,7960,Modify,1896,7960
Manaaki Whenua – Landcare Research,Landcare Research Digital Library,7960,Use commercially,1,7960
Manaaki Whenua – Landcare Research,NZFUNGI,8674,Modify,8315,8674
Manaaki Whenua – Landcare Research,NZFUNGI,8674,Share,8315,8674
Manaaki Whenua – Landcare Research,NZFUNGI,8674,Use commercially,6646,8674
Manaaki Whenua – Landcare Research,NZFUNGI,8674,All rights reserved,359,8674
Massey University,Massey Research Online,13730,All rights reserved,12329,12564
Massey University,Massey Research Online,13730,Share,235,12564
Massey University,Massey Research Online,13730,Modify,211,12564
Massey University,Massey Research Online,13730,Use commercially,186,12564
Massey University,Tāmiro,6910,Modify,6763,6910
Massey University,Tāmiro,6910,Share,6763,6910
Massey University,Tāmiro,6910,Use commercially,6762,6910
